symbol	ensgene	chr	start	end	strand	biotype	description	Control_0w1	Control_0w2	Control_0w3	Control_2w1	Control_2w2	Control_2w3	Control_8w1	Control_8w2	Control_8w3	Control_16w1	Control_16w2	Control_16w3	disease_2w1	disease_2w2	disease_2w3	disease_8w1	disease_8w2	disease_8w3	disease_16w1	disease_16w2	disease_16w3	2WAvgreadControl	2W_Avgreaddisease	2W_logConc	2W_pVal	2W_adj.pVal	8WAvgreadControl	8W_Avgreaddisease	8W_logConc	8W_pVal	8W_adj.pVal	16WAvgreadControl	16W_Avgreaddisease	16W_logConc	16W_pVal	16W_adj.pVal
Xpr1	ENSRNOG00000000042	13	72918490	73056875	-1	protein_coding	xenotropic and polytropic retrovirus receptor 1 	384.3	407.9	399.1	498.4	522.2	489.8	404.1	401.2	421.6	366.4	363.5	379.8	437.8	501.5	476.1	477.4	385.5	479.1	419.4	453.7	451.5	503.4840066	471.7771776	-0.094	0.635	1	408.9345325	447.3278819	0.13	0.516	0.817	369.8867368	441.5328939	0.256	0.198	0.505
Idua	ENSRNOG00000000043	14	2042411	2056762	-1	protein_coding	"iduronidase, alpha-L- "	1027.3	1130.6	1023.5	1112.8	1127.3	1030.4	1060.9	1065.9	1117.5	1014	1169.4	1135.3	1155.2	1181.2	1110.6	1032.4	1132.9	1057.9	1117.1	1108.3	1095	1090.138777	1149.002945	0.0758	0.694	1	1081.428213	1074.375572	-0.00952	0.963	1	1106.235512	1106.791516	0.000964	0.999	1
Tmem175	ENSRNOG00000000044	14	2083712	2100005	-1	protein_coding	transmembrane protein 175 	318.6	395.6	381.2	373.5	416.5	375.2	407.6	409.2	418.2	419.3	465.1	393.6	395.2	407.2	401.9	353.5	364.6	400.9	400.5	390	401.9	388.4211676	401.4438554	0.0473	0.814	1	411.6635456	372.983775	-0.142	0.477	0.789	425.9864389	397.4590103	-0.1	0.616	0.867
Cd82	ENSRNOG00000000047	3	82324354	82368357	-1	protein_coding	Cd82 molecule 	614.4	446.5	595.2	601.7	700.9	628.8	607.9	471.4	531.8	499.2	562.6	530.9	622.2	601	655.4	649	559	643.3	598.2	522.3	603.9	643.8076521	626.1909343	-0.040257691	0.839	1	537.0453401	617.1081351	0.200780096	0.306	0.642	530.9391122	574.8291373	0.115	0.56	0.837
Gak	ENSRNOG00000000048	14	2100106	2174318	1	protein_coding	cyclin G associated kinase 	1688.7	1243.3	1501.7	1390.9	1447.9	1423.9	1445.6	1290.6	1285.2	1425.6	1338.9	1361	1456.1	1444.5	1553.3	1625.7	1411.4	1545.7	1439.2	1504.3	1522.2	1420.871359	1484.638727	0.063284312	0.741	1	1340.480265	1527.636641	0.188671177	0.325	0.66	1375.131423	1488.581901	0.114	0.55	0.832
Abhd8	ENSRNOG00000000054	16	19866022	19872774	-1	protein_coding	abhydrolase domain containing 8 	260.2	342.6	203.4	207.1	186.4	157.2	219.2	292.2	325.7	234.1	345.9	294.8	172.3	177.2	155.1	155.9	207.2	173	184	211.9	191.8	183.58065	168.1885506	-0.127	0.557	1	279.0107604	178.7004529	-0.644	0.0019	0.0182	291.6240145	195.9124806	-0.571	0.00523	0.0402
Cplx1	ENSRNOG00000000060	14	2194933	2226598	1	protein_coding	complexin 1 	7.6	10.5	4.6	2.5	10.7	6.1	4.1	32.2	7	15.2	6.2	NA	7.1	4.2	8.8	4.1	11.8	5.9	4.8	6	5.8	6.422742192	6.681110927	0.036702361	1	1	14.44413984	7.262413696	-1.015116665	0.0213	0.114	10.63283165	5.497205977	-0.969	0.0524	0.214
Pcgf3	ENSRNOG00000000062	14	2247808	2297155	-1	protein_coding	polycomb group ring finger 3 	428.7	438.2	412.6	386.2	334.6	379.3	406.2	377.1	376.7	355.6	379.9	375.6	332.4	374	330	338.1	403.6	306.9	326.9	364.1	358	366.670725	345.4756414	-0.085549021	0.67	1	386.6879815	349.5400554	-0.146070719	0.468	0.783	370.3662817	349.6793088	-0.0824	0.681	0.904
Atp5i	ENSRNOG00000000064	14	2325308	2326436	1	protein_coding	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E "	535.1	562.5	440.7	435.9	470	491.8	493.9	508.9	547.4	520.8	556.5	480.6	407.4	401	430.6	380.1	409.2	388.1	383.1	439.8	414.6	465.9002179	413.0030449	-0.174	0.379	1	516.7555026	392.5034469	-0.397	0.0447	0.193	519.3122557	412.508518	-0.332	0.0919	0.313
Pde6b	ENSRNOG00000000065	14	2328750	2371883	-1	protein_coding	phosphodiesterase 6B 	10.2	8.5	10	8	6	14.2	13	11.6	14.6	8.7	10.2	4.3	14.2	5.2	11	2.4	6.5	9.8	19.5	11.9	8.3	9.388803768	10.15158804	0.13204175	0.908	1	13.03928366	6.239023871	-1.067730842	0.0184	0.102	7.744404322	13.26438985	0.749	0.0721	0.266
Fbxo28	ENSRNOG00000000066	13	100715260	100740728	-1	protein_coding	F-box protein 28 	295.3	293.1	253.3	241.6	240.1	244.4	277.6	254.6	291.1	282.4	275.2	266.6	266.5	272.5	260.2	278	279.5	297.2	249.7	282.6	300.1	242.0323582	266.4169739	0.138465512	0.501	1	274.4265235	284.9011294	0.054035996	0.794	0.949	274.7134151	277.4534449	0.014	0.952	1
Ppp2r5a	ENSRNOG00000000068	13	110033550	110077946	-1	protein_coding	"protein phosphatase 2, regulatory subunit B', alpha "	731.9	961.8	878.5	813.1	865	828.6	882.5	955.7	859.1	843.8	950.7	903.4	846.1	836.2	860.3	826.3	904.8	923.9	910.9	858.6	844.4	835.5588999	847.5348495	0.020444912	0.917	1	899.0874008	885.0285023	-0.022817151	0.908	0.99	899.3248063	871.2907729	-0.0455	0.815	0.961
Tmed5	ENSRNOG00000000073	14	2613406	2633950	1	protein_coding	transmembrane p24 trafficking protein 5 	120.3	147.9	180.2	182.9	156.2	161.3	172.3	169.5	145.2	171.9	170.4	148	174.3	176.2	208	195	170.4	185.8	172.1	174.1	171	166.7881453	186.1487383	0.158	0.453	1	162.3621328	183.7024735	0.179	0.401	0.728	163.4416601	172.4099094	0.0759	0.724	0.925
Mtf2	ENSRNOG00000000075	14	2658267	2700977	-1	protein_coding	metal response element binding transcription factor 2 	203.9	205.7	256.1	285.4	267.7	255.6	260.9	234	249.6	226.3	199.2	212	225	229	283.2	264.5	233.7	235.6	284.2	209.9	256.4	269.5728295	245.7289065	-0.134191646	0.518	1	248.1565107	244.5993818	-0.020192852	0.927	0.995	212.4941123	250.1400454	0.233	0.251	0.574
Antxr2	ENSRNOG00000000081	14	13192347	13274978	1	protein_coding	anthrax toxin receptor 2 	325.9	629.2	397.1	367.2	352.7	450.2	455.1	551	495.8	577.4	536	545.7	282.8	450.5	283.7	256.7	495	372.5	378.2	397	338.7	390.0562471	339.0086582	-0.201480286	0.3102829	1	500.6560687	374.7423074	-0.419539757	0.034923282	0.163411751	553.0119198	371.2707814	-0.575	0.00359	0.0302
Hltf	ENSRNOG00000000082	2	104854572	104914173	1	protein_coding	helicase-like transcription factor 	314.2	349.9	480	496.5	499	573	485.3	549.6	319.9	360.9	305	450	541.1	525.4	560.2	635.8	340	543.6	496.4	438.8	491.9	522.832203	542.2224102	0.052729613	0.791	1	451.5851853	506.4626357	0.166750577	0.403	0.73	371.9758314	475.6838455	0.355	0.0729	0.268
Gpr89b	ENSRNOG00000000095	2	198999946	199038702	-1	protein_coding	G protein-coupled receptor 89B 	251	234.2	236.4	285.5	276.6	233.3	249.3	235.1	265.2	247.3	225.9	251.8	265.5	261.1	252.5	249.1	202.1	224.9	223.8	240.8	250.5	265.1085649	259.7010286	-0.0303	0.89480455	1	249.8650908	225.365227	-0.148	0.469146912	0.78331145	241.661978	238.3731489	-0.02	0.93	0.992
Pdzk1	ENSRNOG00000000096	2	198965685	198999323	1	protein_coding	PDZ domain containing 1 	102	114.8	98.2	99.9	102.1	84.2	119.3	113.5	118	113.8	110.9	128	98.3	90.2	82.1	105.8	91.7	84	84.7	121.4	105.1	95.40052641	90.16587765	-0.082422325	0.736	1	116.9516463	93.86029465	-0.315451195	0.157	0.445	117.5514103	103.7438849	-0.177	0.431	0.746
Rnf115	ENSRNOG00000000098	2	198852500	198919995	1	protein_coding	ring finger protein 115 	362.1	414.5	404.6	445.9	393.8	450.3	439.3	426.3	399.3	415.2	366.6	380.9	381	401	448.2	461.9	402.9	447.8	432.1	436.8	421.6	429.9849251	410.0962996	-0.06821908	0.733	1	421.6341899	437.523358	0.053763034	0.791	0.949	387.5695642	430.1622749	0.15	0.449	0.759
Thoc3	ENSRNOG00000000104	17	10676943	10686134	1	protein_coding	THO complex 3 	302.2	260.8	258.8	247	234.5	244.4	218.6	195.2	259.4	259.3	213.6	268.6	292.8	273.6	290.1	317.1	263.1	250.3	215.9	255.7	282.7	241.9594834	285.4967385	0.239	0.239	1	224.3938384	276.8128803	0.303	0.139	0.413	247.1751324	251.4043188	0.024	0.91	0.986
Cplx2	ENSRNOG00000000105	17	10756285	10818835	-1	protein_coding	complexin 2 	220.9	259.9	235.3	217.6	206.9	192.7	200	228.1	250.5	198.7	253.6	239.2	199.6	242.4	173	167.8	245.3	197.5	195.5	206	165.5	205.7664217	204.9955657	-0.005399172	0.982	1	226.18776	203.5241721	-0.154117029	0.469	0.783	230.4794797	188.9676177	-0.284	0.168	0.461
Aga	ENSRNOG00000000108	16	41222238	41234095	-1	protein_coding	aspartylglucosaminidase 	342.5	405	392.4	443.3	377.3	405.7	302.6	356.1	294.7	312.7	313.2	435.3	429.6	433.1	395.4	360.5	370	355.9	408.5	367.1	370.8	408.7349594	419.3782437	0.037282065	0.855	1	317.8144392	362.1041177	0.18812525	0.35	0.683	353.7309498	382.1426769	0.112	0.579	0.848
Coprs	ENSRNOG00000000111	16	80826681	80831791	1	protein_coding	coordinator of PRMT5 and differentiation stimulator 	105.2	79.6	63.9	80.1	102.3	85.2	61.7	73.3	75.2	66	78.1	103.7	79.1	88.1	92.9	90.2	74.4	93.9	78.9	89.5	118.4	89.19721106	86.67829992	-0.043497964	0.86918937	1	70.06915119	86.15733777	0.299051291	0.208612914	0.523483308	82.59570642	95.61698436	0.217	0.366	0.697
Champ1	ENSRNOG00000000112	16	80839374	80850340	-1	protein_coding	chromosome alignment maintaining phosphoprotein 1 	479.6	483.7	503.9	504.7	481.8	458.4	442.2	553.3	505.9	528.7	533.9	527.8	490.4	462.2	489.4	513.4	481.4	464.4	524.6	527.3	508.3	481.6499536	480.6541913	-0.003145289	0.992	1	500.4685463	486.3791811	-0.041092207	0.838	0.966	530.15146	520.0493902	-0.0277	0.891	0.98
Elac1	ENSRNOG00000000113	18	69706522	69723869	-1	protein_coding	elaC ribonuclease Z 1 	74.5	106.4	80.4	80.9	102.9	105.5	86.7	107.7	123.4	95.7	108.8	109.1	93.2	89.1	98.5	91.7	103.6	101.7	99.6	87.5	115.2	96.40380217	93.6126171	-0.0424	0.877519142	1	105.9321586	99.0013456	-0.099	0.672970032	0.899528375	104.5237918	100.7690298	-0.0521	0.817	0.961
Pigv	ENSRNOG00000000121	5	151886035	151898022	-1	protein_coding	"phosphatidylinositol glycan anchor biosynthesis, class V "	269.8	190.4	279.6	253.9	297.1	302.2	199.7	201.7	206.8	218.3	226.9	252.8	261.4	233.2	265.7	294	221.7	227.8	264.9	300.5	319.7	284.4141187	253.4235209	-0.166	0.413	1	202.7583963	247.8290766	0.291	0.162	0.451	232.6777495	295.042181	0.343	0.0921	0.314
Ak2	ENSRNOG00000000122	5	147185474	147204050	1	protein_coding	adenylate kinase 2 	365.1	277.8	347.7	307.7	289.1	272.8	238.9	257.9	276.4	268	229	264.4	291.8	301.5	286.8	313.6	254.5	264.9	262.1	233.8	247.2	289.8661379	293.3889604	0.017201201	0.936381379	1	257.7244296	277.6563786	0.108099837	0.605912617	0.869389958	253.8017224	247.7073292	-0.0361	0.866	0.974
Rnf19b	ENSRNOG00000000123	5	147246037	147270957	1	protein_coding	ring finger protein 19B 	291.1	256	260.9	287.9	279.4	321.5	373	337	322.8	400.6	277.3	341	255.4	302.5	301.1	268.2	443.7	294.2	323	300.5	290	296.2618866	286.3284535	-0.049	0.811	1	344.2902891	335.3632454	-0.0393	0.856	0.972	339.6556758	304.5059836	-0.159	0.434	0.749
Kpna6	ENSRNOG00000000127	5	147850275	147886615	-1	protein_coding	karyopherin subunit alpha 6 	828.2	940.9	921.9	891.6	875.8	931	992.3	991.4	982.7	999.9	1087.3	927.7	870.4	912.9	890.2	923.5	990.9	829	854.9	918.3	846.7	899.4694957	891.1693427	-0.013327697	0.946727796	1	988.7758014	914.4999552	-0.112702418	0.560231569	0.842412901	1004.934063	873.2967381	-0.202	0.294	0.625
Phf24	ENSRNOG00000000129	5	58359498	58383070	1	protein_coding	PHD finger protein 24 	80.4	118.7	100.3	89.2	72.2	93.3	79.2	52.2	112.9	68.1	112.8	67.3	99.3	65.4	73.2	44	109.6	57.6	81.5	54.7	63.6	84.91722022	79.27116331	-0.096210426	0.672	1	81.4501262	70.39763136	-0.220402236	0.391	0.721	82.73140633	66.60797229	-0.31	0.196	0.502
Dnajb5	ENSRNOG00000000130	5	58393233	58401870	1	protein_coding	DnaJ heat shock protein family (Hsp40) member B5 	639	1057.8	699.3	609.2	345.4	703.7	1521.7	1097.1	971.8	941.4	956.8	494.5	515.8	634.1	542.6	273	574.5	356.8	384.9	596	653.2	552.7736439	564.1577992	0.0306	0.883	1	1196.871525	401.4377286	-1.58	1.68E-15	4.59E-13	797.5982742	544.687461	-0.551	0.00471	0.0371
Txndc15	ENSRNOG00000000133	17	9429175	9441526	-1	protein_coding	thioredoxin domain containing 15 	334.6	288.3	257.8	267.4	287.7	265.7	261.1	252.2	267.5	253.1	303.9	294.8	231	251.8	226	257.5	264.1	250.3	262.3	279.6	245	273.6095618	236.2507959	-0.211946632	0.297	1	260.2782858	257.2858184	-0.016702394	0.938	0.999	283.9512981	262.3083151	-0.113	0.572	0.843
Ly86	ENSRNOG00000000137	17	28104589	28191436	-1	protein_coding	lymphocyte antigen 86 	16.8	17	27.6	21.3	21.2	26.4	18.2	41.8	24.9	70.2	18.6	50.3	20.3	30	23.3	18.8	18.6	26.4	13.2	15.9	28.4	22.96121137	24.52449687	0.0979	0.796	1	28.29955642	21.27579308	-0.411	0.203	0.515	46.38002625	19.16774435	-1.29	0.0000139	0.000416
Glis1	ENSRNOG00000000138	5	127160495	127233078	1	protein_coding	GLIS family zinc finger 1 	29.8	34.2	23.6	23.3	12.1	26.3	67.9	11	20.6	31.5	22.6	11.7	13.2	6.3	10	7.6	18.3	5.8	20.9	NA	18.5	20.56608445	9.796458159	-1.046126151	0.00506	0.137	33.16615279	10.54896493	-1.661255135	0.00000169	0.0000554	21.94298298	18.1043697	-0.31	0.419	0.738
Plxdc2	ENSRNOG00000000142	17	83221827	83610272	1	protein_coding	plexin domain containing 2 	760.2	838.5	809.4	729.1	792.9	928.9	697.9	710.4	553.5	787.1	874.8	1037.6	875.5	1083.7	798.6	826.1	1073.9	1044.2	1213.4	805.9	823.9	816.9781854	919.2664892	0.17	0.378	1	653.9316372	981.3899424	0.585	0.00255	0.023	899.8315933	947.7027642	0.075	0.7	0.915
Pik3r3	ENSRNOG00000000145	5	135074297	135142488	1	protein_coding	phosphoinositide-3-kinase regulatory subunit 3 	183.1	161.2	147.4	233.9	172.6	181.5	239.3	134.9	243.6	324.4	164.4	151.3	177.3	179.2	160.7	153.5	155	169.2	248.8	149.2	221.6	196.0190477	172.4108337	-0.184689511	0.378410976	1	205.9320297	159.2459773	-0.370728789	0.079377083	0.287471726	213.3851094	206.5427408	-0.0559	0.825	0.963
Dnajc1	ENSRNOG00000000150	17	84986991	85141210	-1	protein_coding	DnaJ heat shock protein family (Hsp40) member C1 	425	489.5	469.3	451.2	449.4	449.3	474.7	425.3	439.6	474	439.5	464.8	377	388.6	426.1	398.2	383.2	431.2	428.5	430.8	373.3	449.9447188	397.2308652	-0.18	0.364002019	1	446.5565893	404.1942498	-0.144	0.470100072	0.784474686	459.418921	410.8581489	-0.161	0.416	0.735
Ldlrap1	ENSRNOG00000000151	5	152966591	152987211	-1	protein_coding	low density lipoprotein receptor adaptor protein 1 	545.2	324.2	381.5	351.2	407.2	343.8	348.2	297	316	293.7	312.1	364	402.3	397.9	437.2	408.6	360.4	441	485.3	379.1	349.2	367.3963111	412.4833911	0.166	0.401	1	320.406794	403.3016488	0.332	0.0971	0.329	323.2670162	404.5249683	0.324	0.105	0.342
Cog3	ENSRNOG00000000155	15	57755189	57805184	-1	protein_coding	component of oligomeric golgi complex 3 	414.8	482.8	452.6	439.4	485.9	478.7	497.2	501.9	425.2	513.7	487.7	485.8	480.3	436.3	476.1	451.3	468.3	506.5	576.9	446.7	499	468.0027085	464.211526	-0.011808746	0.956	1	474.7528156	475.3547055	0.001854077	0.997	1	495.7677125	507.5260555	0.0332	0.867	0.974
LOC100911486	ENSRNOG00000000156	5	171472273	171620947	1	protein_coding	multiple epidermal growth factor-like domains protein 6-like 	36.5	44.7	31.4	25.6	43.1	38.5	18	23	30.1	28.5	26.7	30.4	49.6	34.3	38.8	48.3	43.6	31.2	42	35.8	37	35.71979938	40.89772637	0.194	0.491	1	23.70488582	41.05201744	0.789	0.00778	0.0539	28.5260891	38.27986714	0.421	0.146	0.425
Atg12	ENSRNOG00000000157	18	40721800	40732126	-1	protein_coding	autophagy related 12 	274.3	346.2	354.3	374.4	388.6	397.5	348.4	321	336.2	327.5	375.8	362	379	390.6	384.2	390.5	383.1	381.3	381.6	330.3	386.8	386.853804	384.6092008	-0.008381461	0.971	1	335.1886166	384.9878762	0.199909605	0.319	0.654	355.0935677	366.2320228	0.0448	0.828	0.964
Cdo1	ENSRNOG00000000158	18	40701984	40716686	-1	protein_coding	cysteine dioxygenase type 1 	59.7	86.2	141.9	40.5	114	50.8	86.7	86.3	137.7	93.5	42.3	181	22.4	74.4	52	171	33.4	64.4	21.5	37.8	33.4	68.42844252	49.58337081	-0.473	0.0617	0.681	103.5500455	89.61225817	-0.196	0.361	0.693	105.601103	30.90890973	-1.76	2.99E-12	5.64E-10
Chm	ENSRNOG00000000161	X	84666900	84821775	-1	protein_coding	"CHM, Rab escort protein 1 "	174.7	239.1	242.8	329.1	268.1	321.5	297.4	284.1	238.6	220.4	195.1	199.4	266.5	257	335.2	290.3	244.6	272.8	291.4	226.8	296.6	306.2352708	286.2416371	-0.0973	0.631	1	273.3984392	269.2326512	-0.0213	0.919	0.993	204.9633049	271.5957958	0.404	0.0472	0.198
Lamp2	ENSRNOG00000000164	X	124722628	124766044	-1	protein_coding	lysosomal-associated membrane protein 2 	1115.4	1435.1	1453.6	1548.7	1473.6	1702.7	1396.3	1537.8	1277.4	1214.8	1182.9	1518.2	1315.3	1551.1	1498	1564.9	1283.8	1425.5	1454.3	1378.9	1469.1	1575.013833	1454.8068	-0.114469218	0.549	1	1403.849389	1424.713114	0.021453349	0.913	0.992	1305.286272	1434.105469	0.136	0.479	0.781
Pfkfb1	ENSRNOG00000000165	X	23092159	23144324	-1	protein_coding	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 "	7.6	5.6	11	3.4	13.1	7.1	7.1	4.7	7.8	10.6	11.3	8.4	3.1	11.3	7.7	23.1	2.4	4.8	3.6	2	7.8	7.869418926	7.38049243	-0.110256191	1	1	6.524809518	10.12181479	0.66978179	0.236	0.56	10.12020627	4.472879995	-1.18	0.0273	0.135
Apex2	ENSRNOG00000000166	X	23146085	23166675	1	protein_coding	apurinic/apyrimidinic endodeoxyribonuclease 2 	98.7	104.4	89.3	113.3	109	104.5	112.2	119.1	102.5	115.9	127.3	104	112.5	109.8	97.6	108	134	104.6	101.7	87.5	95.9	108.9136875	106.6205713	-0.0307	0.906	1	111.2441081	115.5404304	0.0533	0.823	0.959	115.7261947	95.0409589	-0.285	0.21	0.523
Alas2	ENSRNOG00000000167	X	23167696	23187341	-1	protein_coding	5'-aminolevulinate synthase 2 	127.9	210.8	156.2	121	109.1	191.6	58.5	97.1	89.8	82.4	101.6	85	98.3	119.1	103	98.8	83.1	94.8	73.6	53.7	80.5	140.5675476	106.814443	-0.392154521	0.0706	0.727	81.79731668	92.25196424	0.173751377	0.459	0.775	89.68797171	69.29908256	-0.373	0.116	0.367
Gatm	ENSRNOG00000000168	3	114711562	114728410	-1	protein_coding	glycine amidinotransferase 	58.6	72.2	50.4	100.2	61.8	78.1	61.4	47.3	68.4	70.8	49.3	66.1	25.4	60	46.4	40.9	51.3	53.8	67.6	51.7	54.4	80.03207108	43.93064998	-0.863285123	0.000471	0.022	59.01402008	48.66636194	-0.280260717	0.29	0.624	62.07307803	57.90699878	-0.107	0.693	0.911
Spata5l1	ENSRNOG00000000169	3	114747410	114760409	1	protein_coding	spermatogenesis associated 5-like 1 	90.5	68.2	74.8	87.5	89.5	67	85.1	81.5	91	100.2	75	80.8	69.9	64.3	67.5	77.1	84	89	88.6	64.7	69.4	81.32146935	67.24050876	-0.276573249	0.243	1	85.85036386	83.37437056	-0.042832817	0.876	0.981	85.33731814	74.22311702	-0.208	0.405	0.729
Slc30a4	ENSRNOG00000000170	3	114805922	114828154	-1	protein_coding	solute carrier family 30 member 4 	364.1	637.6	517.3	630.5	537.5	609.5	719.3	706	681.4	623.2	593.5	565.6	559.4	610.3	551.5	589.8	583.9	512.3	601.6	517.4	538.3	592.5058334	573.699675	-0.046320455	0.814	1	702.2452041	561.9723437	-0.321335905	0.0995	0.334	594.0801443	552.4192589	-0.105	0.593	0.855
Sqrdl	ENSRNOG00000000172	3	114900343	114939370	1	protein_coding	sulfide quinone reductase-like (yeast) 	450.7	1001.1	586.7	825.9	599.6	774.8	1175	1033.8	943.5	888.6	1399.2	678.1	702.2	854.7	603.7	542.9	921.6	492.7	622.3	992	662.2	733.4244104	720.2344928	-0.025726237	0.895	1	1050.785058	652.3645294	-0.688434527	0.000394	0.00514	988.6534625	758.8263057	-0.381	0.0482	0.201
Mier2	ENSRNOG00000000175	7	13039781	13055632	1	protein_coding	"mesoderm induction early response 1, family member 2 "	352.2	348.1	333.4	272.9	265.4	256.6	300	294.6	290.1	284.5	350.1	280.2	286.8	273.6	296.7	278.8	317.5	294.3	294	347.2	277.5	264.9506308	285.6723904	0.108	0.595	1	294.8947944	296.8604006	0.00925	0.966	1	304.9352472	306.2449338	0.00735	0.982	1
Plpp2	ENSRNOG00000000177	7	13062196	13070280	1	protein_coding	phospholipid phosphatase 2 	282.2	168.6	224.1	239	273	197.8	207.5	166.4	173.3	132	157.1	154.2	280.7	241.5	290	275.1	175	234.7	225.9	211.9	221.7	236.6003031	270.7146679	0.193	0.343276868	1	182.3874539	228.2589713	0.326	0.121174772	0.377751113	147.7446415	219.8633457	0.575	0.0063	0.0462
Tmprss6	ENSRNOG00000000184	7	119659324	119689938	-1	protein_coding	"transmembrane protease, serine 6 "	23.1	70.5	38.1	40.2	39.6	31.5	40.9	68.6	78.3	55	89.2	49.5	44.5	33.1	18.1	34.1	52.1	35.2	44.5	49.8	34.9	37.09036768	31.9256365	-0.213657828	0.458	1	62.60319878	40.4662129	-0.635643012	0.0145	0.0859	64.56215137	43.05273466	-0.576	0.0232	0.121
